Id,WnvPresent
1,0.008913095238095237
2,0.005583333333333333
3,0.011842857142857143
4,0.005583333333333333
5,0.005583333333333333
6,0.005583333333333333
7,0.005583333333333333
8,0.011842857142857143
9,0.005083333333333333
10,0.004
11,0.007
12,0.004
13,0.004
14,0.004
15,0.004
16,0.007
17,0.01132142857142857
18,0.01085
19,0.008229813664596273
20,0.01085
21,0.01085
22,0.01085
23,0.01085
24,0.008229813664596273
25,0.0035047619047619046
26,0.0035
27,0.005420289855072464
28,0.0035
29,0.0035
30,0.0035
31,0.0035
32,0.005086956521739131
33,7.142857142857142e-05
34,0.0
35,0.0020869565217391303
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0020869565217391303
41,0.0020714285714285713
42,0.001
43,0.0010869565217391304
44,0.001
45,0.001
46,0.001
47,0.001
48,0.0010869565217391304
49,0.0010714285714285715
50,0.0
51,8.695652173913043e-05
52,0.0
53,0.0
54,0.0
55,0.0
56,8.695652173913043e-05
57,0.006166666666666666
58,0.004833333333333333
59,0.012
60,0.004833333333333333
61,0.004833333333333333
62,0.004833333333333333
63,0.004833333333333333
64,0.012
65,0.0065
66,0.0021666666666666666
67,0.008666666666666666
68,0.0021666666666666666
69,0.0021666666666666666
70,0.0021666666666666666
71,0.0021666666666666666
72,0.008666666666666666
73,0.01307142857142857
74,0.0145
75,0.010196851135322269
76,0.0145
77,0.0145
78,0.0145
79,0.0145
80,0.010196851135322269
81,0.006071428571428571
82,0.003
83,0.00808695652173913
84,0.003
85,0.003
86,0.003
87,0.003
88,0.00808695652173913
89,0.02507142857142857
90,0.015
91,0.028161136849607984
92,0.015
93,0.015
94,0.015
95,0.015
96,0.028161136849607984
97,0.00907142857142857
98,0.005
99,0.008719470182941317
100,0.005
101,0.005
102,0.005
103,0.005
104,0.008719470182941317
105,0.005
106,0.003
107,0.0020192307692307693
108,0.003
109,0.003
110,0.003
111,0.003
112,0.0020192307692307693
113,0.00861904761904762
114,0.004
115,0.006
116,0.004
117,0.004
118,0.004
119,0.004
120,0.006
121,0.005
122,0.001
123,0.006
124,0.001
125,0.001
126,0.001
127,0.001
128,0.006
129,0.0075
130,0.0035
131,0.0075
132,0.0035
133,0.0035
134,0.0035
135,0.0035
136,0.0075
137,0.009666666666666665
138,0.001
139,0.009666666666666665
140,0.001
141,0.001
142,0.001
143,0.001
144,0.009666666666666665
145,0.0104
146,0.008
147,0.01
148,0.008
149,0.008
150,0.008
151,0.008
152,0.01
153,0.006666666666666666
154,0.00925
155,0.009142857142857142
156,0.00925
157,0.00925
158,0.00925
159,0.00925
160,0.009142857142857142
161,0.006
162,0.006
163,0.004
164,0.006
165,0.006
166,0.006
167,0.006
168,0.004
169,0.00875
170,0.0115
171,0.014
172,0.0115
173,0.0095
174,0.0095
175,0.0095
176,0.014
177,0.008738095238095238
178,0.007
179,0.00839464882943144
180,0.007
181,0.007
182,0.007
183,0.007
184,0.00839464882943144
185,0.00525
186,0.005
187,0.009
188,0.005
189,0.005
190,0.005
191,0.005
192,0.009
193,0.01447142857142857
194,0.003
195,0.0031361368496079832
196,0.003
197,0.003
198,0.003
199,0.003
200,0.0031361368496079832
201,0.003
202,0.003
203,0.00625
204,0.003
205,0.003
206,0.003
207,0.003
208,0.00625
209,0.006071428571428571
210,0.005
211,0.008216692405163538
212,0.005
213,0.005
214,0.005
215,0.005
216,0.008216692405163538
217,0.008733333333333334
218,0.006
219,0.012
220,0.006
221,0.006
222,0.006
223,0.006
224,0.012
225,0.005071428571428571
226,0.002
227,0.006086956521739131
228,0.002
229,0.002
230,0.002
231,0.002
232,0.006086956521739131
233,0.01089090909090909
234,0.007633333333333333
235,0.011360321151716502
236,0.007633333333333333
237,0.007633333333333333
238,0.007633333333333333
239,0.007633333333333333
240,0.011360321151716502
241,0.007416666666666666
242,0.005
243,0.005142857142857143
244,0.005
245,0.005
246,0.005
247,0.005
248,0.005142857142857143
249,0.0125
250,0.009166666666666667
251,0.0105
252,0.009166666666666667
253,0.009166666666666667
254,0.009166666666666667
255,0.009166666666666667
256,0.0105
257,0.003
258,0.001
259,0.0010192307692307692
260,0.001
261,0.001
262,0.001
263,0.001
264,0.0010192307692307692
265,0.005
266,0.005
267,0.004
268,0.005
269,0.005
270,0.005
271,0.005
272,0.004
273,0.01
274,0.012
275,0.014
276,0.012
277,0.01
278,0.01
279,0.01
280,0.014
281,0.0032857142857142855
282,0.0018888888888888887
283,0.003
284,0.0018888888888888887
285,0.0016666666666666666
286,0.0016666666666666666
287,0.0016666666666666666
288,0.003
289,0.003
290,0.0002222222222222222
291,0.005
292,0.0002222222222222222
293,0.0
294,0.0
295,0.0
296,0.005
297,0.004166666666666666
298,0.004666666666666666
299,0.009
300,0.004666666666666666
301,0.004666666666666666
302,0.004666666666666666
303,0.004666666666666666
304,0.009
305,0.001
306,0.003
307,0.001
308,0.003
309,0.003
310,0.003
311,0.003
312,0.001
313,0.006666666666666666
314,0.004
315,0.01
316,0.004
317,0.004
318,0.004
319,0.004
320,0.01
321,0.004200000000000001
322,0.005166666666666666
323,0.004035714285714286
324,0.005166666666666666
325,0.005166666666666666
326,0.005166666666666666
327,0.005166666666666666
328,0.004035714285714286
329,0.010166666666666666
330,0.0025
331,0.008666666666666666
332,0.0025
333,0.0025
334,0.0025
335,0.0025
336,0.008666666666666666
337,0.009
338,0.006
339,0.011142857142857142
340,0.006
341,0.006
342,0.006
343,0.006
344,0.011142857142857142
345,0.006
346,0.011
347,0.012
348,0.011
349,0.01
350,0.01
351,0.01
352,0.012
353,0.015554761904761906
354,0.012416666666666668
355,0.011176190476190477
356,0.012416666666666668
357,0.012416666666666668
358,0.012416666666666668
359,0.012416666666666668
360,0.011176190476190477
361,0.0205
362,0.01
363,0.011142857142857142
364,0.01
365,0.01
366,0.01
367,0.01
368,0.011142857142857142
369,0.012166666666666666
370,0.009333333333333332
371,0.011
372,0.009333333333333332
373,0.009333333333333332
374,0.009333333333333332
375,0.009333333333333332
376,0.011
377,0.007
378,0.007
379,0.008199999999999999
380,0.007
381,0.007
382,0.007
383,0.007
384,0.008199999999999999
385,0.005333333333333333
386,0.005
387,0.005
388,0.005
389,0.005
390,0.005
391,0.005
392,0.005
393,0.005071428571428571
394,0.0045
395,0.006086956521739131
396,0.0045
397,0.0045
398,0.0045
399,0.0045
400,0.006086956521739131
401,0.010804761904761906
402,0.01
403,0.009086956521739131
404,0.01
405,0.01
